Title_ID,Titles,Categories,Date_Added,Ratings,Description
tid146,Once Upon a Time in Mumbaai,Movie,2021-08-27,TV-14,"Mumbai's top mob boss rules the underworld with honor and compassion, but his power-hungry protégé will shake up the world of organized crime."
tid147,Once Upon a Time in Mumbai Dobaara!,Movie,2021-08-27,TV-14,"This turbulent sequel to Once Upon a Time in Mumbai carries on the saga of the gangland don Shoaib Khan, who continues pressing for more control."
tid148,Ragini MMS,Movie,2021-08-27,TV-MA,A couple out to have a sensuous weekend at a house outside of Mumbai finds it rigged with surveillance cameras and occupied by an evil entity.
tid149,Ragini MMS 2,Movie,2021-08-27,TV-MA,The horror continues when Ragini's video goes viral and a sleazy director decides to make a movie about the incident in the original house.
tid150,SAS: Rise of the Black Swan,Movie,2021-08-27,R,"A special forces operative traveling from London to Paris with his girlfriend takes action when armed, ruthless mercenaries seize control of their train."
tid151,Shootout at Lokhandwala,Movie,2021-08-27,TV-MA,"Based on a true story, this action film follows an incident that stunned a nation in the early 1990s. In Mumbai, India, the notorious gangster Maya holds off veteran cop Khan and a force of more than 200 policemen in a six-hour bloody gunfight."
tid152,Shor In the City,Movie,2021-08-27,TV-14,"When three small-time Mumbai crooks steal a bag on a train, they find that it's filled with weapons and realize that their lives may be in danger."
tid153,The Dirty Picture,Movie,2021-08-27,TV-14,"After running away from home in search of movie stardom, a village girl rises to become a prominent sex symbol."
tid154,"Bob Ross: Happy Accidents, Betrayal & Greed",Movie,2021-08-25,TV-14,Bob Ross brought joy to millions as the world’s most famous art instructor. But a battle for his business empire cast a shadow over his happy trees.
tid155,Clickbait,TV Show,2021-08-25,TV-MA,"When family man Nick Brewer is abducted in a crime with a sinister online twist, those closest to him race to uncover who is behind it and why."
tid156,John of God: The Crimes of a Spiritual Healer,TV Show,2021-08-25,TV-MA,"Idolized medium João Teixeira de Faria rises to international fame before horrifying abuse is revealed by survivors, prosecutors and the press."
tid157,Really Love,Movie,2021-08-25,TV-MA,A rising Black painter tries to break into a competitive art world while balancing an unexpected romance with an ambitious law student.
tid158,The November Man,Movie,2021-08-25,R,"An ex-CIA agent emerges from retirement to protect an important witness, but he soon discovers that old friends can make the most dangerous enemies."
tid159,The Old Ways,Movie,2021-08-25,TV-MA,"A reporter visits her birthplace in Veracruz for a story about tribal culture, only to be kidnapped by locals who believe she's demonically possessed."
tid160,The River Runner,Movie,2021-08-25,TV-MA,"In this documentary, a kayaker sets out to become the first man to paddle the four great rivers that flow from Tibet's sacred Mount Kailash."
tid161,The Water Man,Movie,2021-08-25,PG,"Desperate to save his ailing mother, 11-year-old Gunner runs away from home on a quest to find a mythic figure rumored to have the power to cheat death."
tid162,Count Me In,Movie,2021-08-24,TV-MA,This documentary features some of rock's greatest drummers as they come together in an inspiring rhythmic journey about the power of human connection.
tid163,Untold: Caitlyn Jenner,Movie,2021-08-24,TV-PG,Caitlyn Jenner's unlikely path to Olympic glory was inspirational. But her more challenging road to embracing her true self proved even more meaningful.
tid164,Boomika,Movie,2021-08-23,TV-14,"Paranormal activity at a lush, abandoned property alarms a group eager to redevelop the site, but the eerie events may not be as unearthly as they think."
tid165,Boomika (Hindi),Movie,2021-08-23,TV-14,"Paranormal activity at a lush, abandoned property alarms a group eager to redevelop the site, but the eerie events may not be as unearthly as they think."
tid166,Boomika (Malayalam),Movie,2021-08-23,TV-14,"Paranormal activity at a lush, abandoned property alarms a group eager to redevelop the site, but the eerie events may not be as unearthly as they think."
tid167,Boomika (Telugu),Movie,2021-08-23,TV-14,"Paranormal activity at a lush, abandoned property alarms a group eager to redevelop the site, but the eerie events may not be as unearthly as they think."
tid168,The Witcher: Nightmare of the Wolf,Movie,2021-08-23,TV-MA,"Escaping from poverty to become a witcher, Vesemir slays monsters for coin and glory, but when a new menace rises, he must face the demons of his past."
tid169,Gunshot,Movie,2021-08-20,TV-14,"After a clash at a protest ends in bloodshed, a forensic doctor and a journalist embark on a search for the elusive truth."
tid170,Man in Love,Movie,2021-08-20,TV-MA,"When he meets a debt-ridden woman who's caring for her ailing father, a debt collector with a heart of gold sets out to win her love."
tid171,Sweet Girl,Movie,2021-08-20,R,"He lost the love of his life to a pharmaceutical company's greed. Now his daughter is without a mother, and he's without justice. For now."
