Title_ID,Title,Type,Category,Date_Added,Rating,Description
tid689,Pinkfong & Baby Shark's Space Adventure,Movie,Children & Family Movies,2021-01-15,TV-Y,"Joined by new friends from other planets, Pinkfong and Baby Shark explore outer space and search for missing star pieces to return home."
tid690,The Vanished,Movie,Thrillers,2021-01-15,R,"When their daughter disappears during a family vacation, two terrified parents launch their own investigation that soon exposes local secrets."
tid691,Tribhanga - Tedhi Medhi Crazy,Movie,"Dramas, International Movies",2021-01-15,TV-MA,"When her estranged mother falls into a coma, a self-made single mom grapples with regret and resentment while reflecting on their strained relationship."
tid692,What Would Sophia Loren Do?,Movie,Documentaries,2021-01-15,TV-14,"In this delightful short documentary, an Italian American grandmother and film buff finds strength and joy in the life of her screen idol, Sophia Loren."
tid693,Wish You,Movie,"Dramas, International Movies, LGBTQ Movies",2021-01-15,TV-PG,"Singing and dreaming together, a talented singer-songwriter and a same-aged keyboardist add harmony and love to each other’s lives."
tid694,Tanda Tanya,Movie,"Dramas, International Movies",2021-01-14,TV-MA,"In a story of interconnected lives, three families of different religious faiths navigate conflicting beliefs, hardships and other struggles."
tid695,The Heartbreak Club,Movie,"Comedies, Dramas, International Movies",2021-01-14,TV-14,"Coping with heartbreak, the shy owner of a floundering cafe finds solace in the Javanese love songs of Didi Kempot."
tid696,An Imperfect Murder,Movie,"Dramas, Thrillers",2021-01-13,R,"Haunted by a nightmare involving her abusive ex-boyfriend, an actress begins to question her reality and whether the incident took place."
tid697,Al acecho,Movie,"International Movies, Thrillers",2021-01-12,TV-MA,"Looking for a fresh start, a park ranger gets a new assignment. When he discovers a network of poachers, survival depends on his lethal instincts."
tid698,Last Tango in Halifax,TV Show,"British TV Shows, Romantic TV Shows, TV Dramas",2021-01-12,TV-MA,Two widowed childhood sweethearts fall for each other all over again when they are reunited over the Internet after nearly 60 years.
tid699,The Intouchables,Movie,"Comedies, Dramas, International Movies",2021-01-11,R,"In need of a caregiver, a wealthy aristocrat with quadriplegia hires the last person anyone expects: an ex-con with no experience. Based on a true story."
tid700,Apaharan,Movie,"Dramas, International Movies",2021-01-08,TV-14,"Raised under the condescending eye of his activist father, an underachieving loafer is lured into the local kingpin’s web of corruption and kidnapping."
tid701,BluffMaster!,Movie,"Comedies, International Movies, Romantic Movies",2021-01-08,TV-14,"When his girlfriend learns the truth about his murky past, a con artist is forced to examine his choices and get to the root of his real identity."
tid702,Charming,Movie,"Children & Family Movies, Comedies",2021-01-08,TV-Y7,"On the eve of his 21st birthday, an adored prince must find his one, true soulmate before a spell takes away all love from his kingdom."
tid703,Gangaajal,Movie,"Dramas, International Movies",2021-01-08,TV-MA,"Posted to a small, crime-ridden town, a cop soon learns that cleaning up the system also means confronting the corruption among police and politicians."
tid704,Is Love Enough? Sir,Movie,"Dramas, Independent Movies, International Movies",2021-01-08,TV-MA,"A young widow is hired as the domestic helper for a wealthy architect, but social divides come to the fore as an unlikely attraction grows between them."
tid705,The Idhun Chronicles,TV Show,"Anime Series, International TV Shows, Spanish-Language TV Shows",2021-01-08,TV-14,"A boy suddenly orphaned fights his parents' killer to save a planet, and discovers a new world of danger — and wonder."
tid706,100% Halal,Movie,"Dramas, International Movies",2021-01-07,TV-14,"After high school, a young woman marries the man of her father's choice but soon faces the possibility that her religion considers the union invalid."
tid707,Leap!,Movie,"Children & Family Movies, Comedies",2021-01-07,PG,"Félicie and Victor, two young friends in 1880s France, escape from an orphanage to pursue their dreams in Paris, the glittering City of Lights."
tid708,Pieces of a Woman,Movie,Dramas,2021-01-07,R,"A heartbreaking home birth leaves a woman grappling with the profound emotional fallout, isolated from her partner and family by a chasm of grief."
tid709,Tony Parker: The Final Shot,Movie,"Documentaries, International Movies, Sports Movies",2021-01-06,TV-14,"This film examines the background and career of Tony Parker, whose determination led him to become arguably the greatest French basketball player."
tid710,Hello Brother,Movie,"Action & Adventure, Comedies, International Movies",2021-01-04,TV-14,"After receiving a heart transplant from a murdered man, a cop is followed around by the victim’s ghost, who won’t rest until his death has been avenged."
tid711,Playing for Keeps,Movie,"Comedies, Romantic Movies, Sports Movies",2021-01-03,PG-13,"A washed-up, former soccer star attempts to rebuild his relationship with his son and ex-wife by coaching his son's soccer team."
tid712,Asphalt Burning,Movie,"Action & Adventure, Comedies, International Movies",2021-01-02,TV-14,"When the brakes slam on his wedding, Roy accepts a challenge from a new foe to race for his runaway bride at the iconic Nürburgring track in Germany."
tid713,Bad Grandpa .5,Movie,Comedies,2021-01-01,TV-MA,"The geriatric antics of Irving Zisman continue in this next installment of the Jackass franchise, which features unused footage from the first film."
tid714,Case 39,Movie,"Horror Movies, Thrillers",2021-01-01,R,A naïve social worker brings a 10-year-old child into her home to rescue the girl from abusive parents – only to learn that she isn't what she seems.
tid715,Eddie Murphy: Raw,Movie,Stand-Up Comedy,2021-01-01,R,"This stand-up comedy classic features Eddie Murphy live in a provocative series of impressions, observations and remembrances of his childhood."
tid716,Full Out 2: You Got This!,Movie,"Children & Family Movies, Dramas, Sports Movies",2021-01-01,TV-Y,"With a championship on the line, Chayse and her gymnastics team look to a local break-dancer for all the right moves to rise above their competition."
tid717,Gimme Shelter,Movie,"Dramas, Independent Movies",2021-01-01,PG-13,"After running away from her abusive mother, a streetwise teen seeks refuge with her father, but he rejects her when he learns that she's pregnant."
tid718,Good Burger,Movie,"Children & Family Movies, Comedies",2021-01-01,PG,"Working at a neighborhood fast-food joint, two teens try to save the restaurant when a giant burger franchise fires up the competition."
tid719,Good Hair,Movie,Documentaries,2021-01-01,PG-13,Chris Rock hops around the world going from beauty salons to science labs to comb through the mystery of Black hair.
tid720,Into the Wild,Movie,"Action & Adventure, Dramas, Independent Movies",2021-01-01,R,A young man gives up everything – including his trust fund and ties to a seemingly stable family – to lead a solitary life in the wild.
tid721,London Heist,Movie,Action & Adventure,2021-01-01,R,"After a heist gone wrong, a career criminal gradually uncovers the hidden motive behind his father's murder – and it has nothing to do with money."
tid722,Mean Girls 2,Movie,Comedies,2021-01-01,PG-13,The father of a high school pariah offers to pay another student's way through college if she makes friends with his outcast daughter.
tid723,Mystic Pizza,Movie,"Comedies, Dramas, Independent Movies",2021-01-01,R,"In a small fishing town, three teenage girls from blue-collar families navigate life and love while working in a pizza parlor."
tid724,The Cat in the Hat Knows a Lot About That!,TV Show,Kids' TV,2021-01-01,TV-Y,"The Cat in the Hat is back – and this time, he's teaching Sally and her brother, Nick, some awfully nifty things to think about!"
